"nmqm","wfl.gekappt","bj","WL","Zentral","Gebtyp.23","Modern.Boden","Boden.Fak","kue.score.23","bad.score23","Fussboden.Heizung"
14.44,45,1972,"gute",1,"Hochhaus",0,"wedernoch",0,0,0
21.61,49,1957.5,"gute",1,"anderer",0,"gut",2,0,0
13.37,89,1918,"durchschnittliche",0,"anderer",0,"gut",0,1,0
13.68,60,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,1,0
16.18,54,1972,"durchschnittliche",0,"Hochhaus",0,"gut",3,1,1
15.37,145,1972,"durchschnittliche",0,"anderer",0,"wedernoch",3,2,0
16.45,99,2012.5,"durchschnittliche",0,"anderer",0,"gut",3,2,1
17.03,92,2012.5,"durchschnittliche",0,"anderer",0,"gut",3,2,1
17.72,83,2018,"durchschnittliche",0,"anderer",0,"gut",3,2,1
16.6,52,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,0,0
13.04,56,1983,"gute",1,"anderer",0,"gut",0,0,0
13.93,70,1939,"gute",1,"anderer",1,"gut",0,2,0
14.41,68,1972,"gute",1,"anderer",0,"gut",0,1,0
15.2,50,1957.5,"beste",1,"anderer",0,"gut",0,0,0
12.79,86,2003.5,"durchschnittliche",0,"anderer",0,"wedernoch",0,1,0
18.62,65,2012.5,"gute",0,"anderer",0,"gut",0,2,1
12.71,96,1957.5,"gute",0,"Hochhaus",0,"gut",0,0,1
18.53,75,1972,"gute",0,"Wohnblock",0,"gut",0,0,0
13.2,75,1993.5,"durchschnittliche",0,"Wohnblock",0,"gut",0,1,0
17.38,63,1993.5,"durchschnittliche",0,"anderer",0,"gut",3,1,0
17.07,41,1993.5,"durchschnittliche",0,"anderer",0,"gut",2,0,0
15.32,77,1993.5,"gute",0,"anderer",0,"gut",2,1,0
12.63,70,1972,"durchschnittliche",0,"Hochhaus",0,"gut",0,0,0
13.13,80,1972,"gute",0,"anderer",0,"wedernoch",0,0,0
14.79,56,1993.5,"durchschnittliche",0,"anderer",0,"gut",2,0,0
17.31,78,2012.5,"durchschnittliche",0,"anderer",0,"gut",3,0,1
20.33,61,2012.5,"durchschnittliche",0,"anderer",0,"gut",3,0,1
11.95,118,1993.5,"gute",0,"anderer",0,"gut",0,2,0
19.7,33,1972,"durchschnittliche",0,"Hochhaus",0,"gut",3,0,0
14.37,62,1993.5,"durchschnittliche",0,"anderer",0,"gut",2,0,0
14.38,64,1993.5,"gute",0,"anderer",0,"gut",0,0,0
16.42,74,1983,"beste",0,"anderer",0,"gut",3,1,0
17.77,94,2003.5,"beste",0,"anderer",1,"gut",3,1,1
12.66,64,1972,"beste",0,"anderer",0,"gut",3,1,0
14.22,58,1957.5,"durchschnittliche",0,"anderer",0,"gut",1,0,0
11.25,65,1972,"gute",0,"anderer",0,"gut",3,1,0
23.13,64,2020.5,"gute",0,"anderer",0,"gut",3,2,1
15.41,66,1957.5,"durchschnittliche",0,"anderer",1,"gut",0,0,0
15.88,68,1957.5,"durchschnittliche",0,"Hochhaus",0,"gut",3,0,0
12.95,38,1972,"durchschnittliche",0,"Hochhaus",0,"einfach",0,0,1
13.14,73,1957.5,"durchschnittliche",0,"anderer",0,"gut",1,1,0
26.14,70,2020.5,"durchschnittliche",0,"anderer",0,"gut",3,1,1
13.45,58,2003.5,"durchschnittliche",0,"anderer",0,"gut",3,0,0
16.82,63,2012.5,"durchschnittliche",0,"anderer",0,"gut",3,1,1
19.48,55,1957.5,"durchschnittliche",0,"anderer",1,"gut",2,0,0
10.7,76,1957.5,"durchschnittliche",0,"Hochhaus",0,"gut",0,0,1
15.87,150,2012.5,"durchschnittliche",0,"anderer",0,"wedernoch",0,2,1
